48212748,129,4,3225,lift.main.LiftBrain,1,14949
422434,29,22,725,lift.main.LiftBrain,1,582
4414855,57,28,1425,lift.main.LiftBrain,1,3098
78327439,145,20,3625,lift.main.LiftBrain,1,21607
14507,11,66,275,lift.main.LiftBrain,1,52
10321666,73,86,1825,lift.main.LiftBrain,1,5655
3232432,51,34,1275,lift.main.LiftBrain,1,2535
380,5,2,125,lift.main.LiftBrain,1,3
6654581,65,32,1625,lift.main.LiftBrain,1,4095
17727,21,10,525,lift.main.LiftBrain,1,33
3579169,51,80,1275,lift.main.LiftBrain,1,2807
84752248,149,36,3725,lift.main.LiftBrain,1,22752
31476734,107,16,2675,lift.main.LiftBrain,1,11767
51478520,129,8,3225,lift.main.LiftBrain,1,15962
3076803,49,94,1225,lift.main.LiftBrain,1,2511
964700,35,42,875,lift.main.LiftBrain,1,1102
13151592,83,12,2075,lift.main.LiftBrain,1,6338
101108455,167,2,4175,lift.main.LiftBrain,1,24217
9424367,73,20,1825,lift.main.LiftBrain,1,5164
58876183,131,44,3275,lift.main.LiftBrain,1,17977
35693427,111,26,2775,lift.main.LiftBrain,1,12862
27270713,101,82,2525,lift.main.LiftBrain,1,10800
115531376,165,52,4125,lift.main.LiftBrain,1,28007
1665,7,98,175,lift.main.LiftBrain,1,9
2169509,47,22,1175,lift.main.LiftBrain,1,1846
269572,23,78,575,lift.main.LiftBrain,1,468
2517437,47,58,1175,lift.main.LiftBrain,1,2142
18427399,89,34,2225,lift.main.LiftBrain,1,8281
280014,25,42,625,lift.main.LiftBrain,1,448
256014,23,76,575,lift.main.LiftBrain,1,445
23518175,97,68,2425,lift.main.LiftBrain,1,9698
85271389,153,62,3825,lift.main.ImprovedBrain2,1,22293
316195,25,54,625,lift.main.ImprovedBrain2,1,505
118416320,165,44,4125,lift.main.LiftBrain,1,28706
4133,13,12,325,lift.main.LiftBrain,1,12
2425,9,52,225,lift.main.LiftBrain,1,10
2180605,45,54,1125,lift.main.LiftBrain,1,1938
24672375,101,96,2525,lift.main.ImprovedBrain2,1,9771
86305693,149,34,3725,lift.main.LiftBrain,1,23169
10015506,75,28,1875,lift.main.ImprovedBrain2,1,5341
22545555,95,56,2375,lift.main.LiftBrain,1,9492
19283988,93,58,2325,lift.main.ImprovedBrain2,1,8294
108698822,161,80,4025,lift.main.LiftBrain,1,27005
20062222,95,16,2375,lift.main.ImprovedBrain2,1,8447
4864239,57,56,1425,lift.main.LiftBrain,1,3413
841407,33,80,825,lift.main.ImprovedBrain2,1,1019
7616055,67,54,1675,lift.main.LiftBrain,1,4546
7165479,75,4,1875,lift.main.LiftBrain,1,3821
4612419,57,68,1425,lift.main.LiftBrain,1,3236
1708162,45,12,1125,lift.main.LiftBrain,1,1518
3656924,53,30,1325,lift.main.LiftBrain,1,2759
31267,13,60,325,lift.main.LiftBrain,1,96
121984,27,12,675,lift.main.LiftBrain,1,180
99313879,157,28,3925,lift.main.LiftBrain,1,25302
51662,15,58,375,lift.main.LiftBrain,1,137
3594477,55,14,1375,lift.main.LiftBrain,1,2614
56188755,129,76,3225,lift.main.LiftBrain,1,17422
72655863,143,70,3575,lift.main.ImprovedBrain2,1,20323
15885,11,66,275,lift.main.ImprovedBrain2,1,57
75106259,143,70,3575,lift.main.LiftBrain,1,21008
5028982,59,48,1475,lift.main.LiftBrain,1,3409
69294771,145,4,3625,lift.main.LiftBrain,1,19115
55411552,131,64,3275,lift.main.ImprovedBrain2,1,16919
9266,17,16,425,lift.main.ImprovedBrain2,1,21
13005238,81,78,2025,lift.main.ImprovedBrain2,1,6422
12777438,81,50,2025,lift.main.ImprovedBrain2,1,6309
122292846,167,64,4175,lift.main.LiftBrain,1,29291
23738197,97,86,2425,lift.main.LiftBrain,1,9788
862225,33,66,825,lift.main.LiftBrain,1,1045
10418923,75,40,1875,lift.main.LiftBrain,1,5556
10496608,73,80,1825,lift.main.LiftBrain,1,5751
190467,57,2,1425,lift.main.LiftBrain,1,133
38060336,117,14,2925,lift.main.ImprovedBrain2,1,13012
114016845,165,12,4125,lift.main.LiftBrain,1,27640
38135355,117,28,2925,lift.main.ImprovedBrain2,1,13037
40078584,115,66,2875,lift.main.LiftBrain,1,13940
72424871,141,40,3525,lift.main.LiftBrain,1,20546
36842870,115,8,2875,lift.main.LiftBrain,1,12814
651032,31,40,775,lift.main.LiftBrain,1,840
67146268,137,46,3425,lift.main.LiftBrain,1,19604
2510776,53,8,1325,lift.main.LiftBrain,1,1894
18763746,91,12,2275,lift.main.LiftBrain,1,8247
571383,29,70,725,lift.main.LiftBrain,1,788
4144884,55,86,1375,lift.main.LiftBrain,1,3014
15037641,85,40,2125,lift.main.LiftBrain,1,7076
83083166,149,92,3725,lift.main.ImprovedBrain2,1,22304
23197107,101,12,2525,lift.main.ImprovedBrain2,1,9186
90747769,151,42,3775,lift.main.LiftBrain,1,24039
39584696,115,20,2875,lift.main.LiftBrain,1,13768
39160882,117,60,2925,lift.main.ImprovedBrain2,1,13388
1349596,39,50,975,lift.main.ImprovedBrain2,1,1384
117084163,165,36,4125,lift.main.LiftBrain,1,28384
16750,13,48,325,lift.main.LiftBrain,1,51
80945428,147,98,3675,lift.main.LiftBrain,1,22025
73927946,141,70,3525,lift.main.LiftBrain,1,20972
31137739,107,74,2675,lift.main.LiftBrain,1,11640
139501,19,74,475,lift.main.LiftBrain,1,293
93947627,153,28,3825,lift.main.LiftBrain,1,24561
109345221,167,20,4175,lift.main.ImprovedBrain2,1,26190
5449,15,16,375,lift.main.ImprovedBrain2,1,14
