Steps,FloorsNum,PeopleNum,Brain,Max people on floor,liftNum
1914331,31,1195,lift.main.LiftBrain,65,1
1180146,25,1065,lift.main.LiftBrain,53,1
214918,63,285,lift.main.LiftBrain,10,1
5833203,109,1125,lift.main.LiftBrain,20,1
204279,7,845,lift.main.LiftBrain,135,1
100408,7,575,lift.main.LiftBrain,93,1
7219272,123,1175,lift.main.LiftBrain,21,1
1275720,19,1255,lift.main.LiftBrain,78,1
3253340,59,1145,lift.main.LiftBrain,30,1
2522302,151,595,lift.main.LiftBrain,11,1
3045047,127,735,lift.main.LiftBrain,12,1
3653421,121,845,lift.main.LiftBrain,17,1
479,29,15,lift.main.LiftBrain,3,1
1775195,47,955,lift.main.LiftBrain,32,1
185033,43,325,lift.main.LiftBrain,15,1
8997001,131,1265,lift.main.LiftBrain,21,1
3403669,93,935,lift.main.LiftBrain,21,1
2300944,81,815,lift.main.LiftBrain,18,1
337180,157,225,lift.main.LiftBrain,6,1
2078789,89,705,lift.main.LiftBrain,18,1
12236131,163,1305,lift.main.LiftBrain,16,1
4029355,159,765,lift.main.LiftBrain,10,1
1530772,43,915,lift.main.LiftBrain,34,1
254929,61,315,lift.main.LiftBrain,10,1
1965217,113,645,lift.main.LiftBrain,14,1
242162,35,415,lift.main.LiftBrain,20,1
2373123,45,1115,lift.main.LiftBrain,38,1
4433532,129,885,lift.main.LiftBrain,13,1
112986,103,155,lift.main.LiftBrain,5,1
23744,143,55,lift.main.LiftBrain,2,1
3682162,97,985,lift.main.LiftBrain,17,1
726333,53,565,lift.main.LiftBrain,19,1
7167435,111,1235,lift.main.LiftBrain,19,1
290836,19,605,lift.main.LiftBrain,48,1
531603,35,605,lift.main.LiftBrain,31,1
752054,67,505,lift.main.LiftBrain,13,1
1261,11,45,lift.main.LiftBrain,8,1
22886,161,55,lift.main.LiftBrain,3,1
913056,51,635,lift.main.LiftBrain,22,1
329490,35,465,lift.main.LiftBrain,25,1
997860,69,575,lift.main.LiftBrain,15,1
778621,33,745,lift.main.LiftBrain,36,1
871663,41,705,lift.main.LiftBrain,28,1
1221,39,25,lift.main.LiftBrain,3,1
1681789,41,995,lift.main.LiftBrain,37,1
3596003,95,915,lift.main.LiftBrain,19,1
2380780,43,1155,lift.main.LiftBrain,42,1
5878018,153,935,lift.main.LiftBrain,14,1
7357279,135,1115,lift.main.LiftBrain,15,1
7389,73,45,lift.main.LiftBrain,3,1
1495244,63,745,lift.main.LiftBrain,22,1
1112990,127,445,lift.main.LiftBrain,8,1
4081215,91,1025,lift.main.LiftBrain,19,1
2161383,55,945,lift.main.LiftBrain,28,1
297019,141,215,lift.main.LiftBrain,5,1
2895533,67,1005,lift.main.LiftBrain,24,1
615271,9,1275,lift.main.LiftBrain,156,1
1102871,133,435,lift.main.LiftBrain,8,1
19676,37,105,lift.main.LiftBrain,7,1
2749863,159,645,lift.main.LiftBrain,10,1
4434169,135,885,lift.main.LiftBrain,15,1
5205467,127,995,lift.main.LiftBrain,15,1
362984,123,255,lift.main.LiftBrain,8,1
3022649,105,815,lift.main.LiftBrain,17,1
3492310,167,715,lift.main.LiftBrain,12,1
2152291,159,575,lift.main.LiftBrain,9,1
2303196,141,625,lift.main.LiftBrain,10,1
3709594,107,915,lift.main.LiftBrain,15,1
2086,25,35,lift.main.LiftBrain,4,1
1652796,39,1005,lift.main.LiftBrain,35,1
2375256,99,725,lift.main.LiftBrain,15,1
501011,91,365,lift.main.LiftBrain,8,1
1600945,115,575,lift.main.LiftBrain,12,1
1288580,55,745,lift.main.LiftBrain,22,1
6665718,165,955,lift.main.LiftBrain,13,1
1115065,29,985,lift.main.LiftBrain,50,1
2776664,49,1165,lift.main.LiftBrain,35,1
3650790,161,715,lift.main.LiftBrain,12,1
35538,17,215,lift.main.LiftBrain,19,1
696732,85,435,lift.main.LiftBrain,11,1
1476412,73,685,lift.main.LiftBrain,15,1
445313,67,405,lift.main.LiftBrain,12,1
98203,77,165,lift.main.LiftBrain,6,1
586906,41,585,lift.main.LiftBrain,22,1
4104486,85,1035,lift.main.LiftBrain,22,1
689487,11,1205,lift.main.LiftBrain,125,1
389609,17,725,lift.main.LiftBrain,57,1
10330110,161,1235,lift.main.LiftBrain,15,1
1960691,105,655,lift.main.LiftBrain,13,1
5124120,95,1125,lift.main.LiftBrain,19,1
470807,35,565,lift.main.LiftBrain,29,1
3651208,143,785,lift.main.LiftBrain,11,1
4320234,109,995,lift.main.LiftBrain,18,1
210789,85,245,lift.main.LiftBrain,8,1
5767271,139,965,lift.main.LiftBrain,16,1
1078757,147,425,lift.main.LiftBrain,9,1
4022223,143,795,lift.main.LiftBrain,12,1
474102,111,315,lift.main.LiftBrain,7,1
1043576,129,435,lift.main.LiftBrain,8,1
1269,109,15,lift.main.LiftBrain,2,1
145110,133,145,lift.main.LiftBrain,5,1
35792,51,125,lift.main.LiftBrain,7,1
2158602,139,585,lift.main.LiftBrain,11,1
995,17,35,lift.main.LiftBrain,5,1
5564442,99,1155,lift.main.LiftBrain,23,1
56830,93,115,lift.main.LiftBrain,4,1
6921312,127,1105,lift.main.LiftBrain,17,1
3586104,61,1175,lift.main.LiftBrain,31,1
2508258,103,745,lift.main.LiftBrain,15,1
795114,13,1195,lift.main.LiftBrain,109,1
858983,91,445,lift.main.LiftBrain,10,1
3295372,129,775,lift.main.LiftBrain,14,1
2522540,155,615,lift.main.LiftBrain,10,1
679633,17,995,lift.main.LiftBrain,81,1
334429,23,585,lift.main.LiftBrain,34,1
76980,27,255,lift.main.LiftBrain,16,1
2916260,153,675,lift.main.LiftBrain,11,1
2600664,53,1095,lift.main.LiftBrain,31,1
635415,69,465,lift.main.LiftBrain,13,1
3437934,55,1215,lift.main.LiftBrain,38,1
5615,103,25,lift.main.LiftBrain,3,1
289534,19,585,lift.main.LiftBrain,43,1
1101302,21,1125,lift.main.LiftBrain,63,1
4663956,159,815,lift.main.LiftBrain,12,1
4392657,69,1205,lift.main.LiftBrain,30,1
11695,135,45,lift.main.LiftBrain,2,1
312379,137,235,lift.main.LiftBrain,6,1
5857399,109,1135,lift.main.LiftBrain,21,1
708020,75,475,lift.main.LiftBrain,14,1
450,43,15,lift.main.LiftBrain,2,1
6548494,141,1055,lift.main.LiftBrain,16,1
524603,57,485,lift.main.LiftBrain,16,1
1540141,49,855,lift.main.LiftBrain,26,1
4974094,113,995,lift.main.LiftBrain,16,1
4588999,107,1015,lift.main.LiftBrain,19,1
11339,5,235,lift.main.LiftBrain,53,1
214454,77,255,lift.main.LiftBrain,9,1
3034350,83,925,lift.main.LiftBrain,20,1
1488788,109,555,lift.main.LiftBrain,13,1
560260,117,305,lift.main.LiftBrain,10,1
110918,13,445,lift.main.LiftBrain,46,1
2247088,153,585,lift.main.LiftBrain,12,1
2387684,71,865,lift.main.LiftBrain,21,1
1650530,69,725,lift.main.LiftBrain,16,1
1708498,163,475,lift.main.LiftBrain,8,1
1450172,81,665,lift.main.LiftBrain,16,1
674222,43,605,lift.main.LiftBrain,25,1
2687385,119,735,lift.main.LiftBrain,14,1
647534,127,335,lift.main.LiftBrain,8,1
554175,65,455,lift.main.LiftBrain,14,1
5787722,101,1145,lift.main.LiftBrain,20,1
7280429,153,1055,lift.main.LiftBrain,13,1
543915,123,305,lift.main.LiftBrain,7,1
359080,55,395,lift.main.LiftBrain,14,1
111925,57,215,lift.main.LiftBrain,7,1
2233880,99,725,lift.main.LiftBrain,14,1
568858,135,305,lift.main.LiftBrain,7,1
92386,25,295,lift.main.LiftBrain,19,1
1885498,29,1235,lift.main.LiftBrain,53,1
4560826,77,1185,lift.main.LiftBrain,25,1
3962550,57,1235,lift.main.LiftBrain,32,1
7900042,103,1315,lift.main.LiftBrain,26,1
3094055,61,1105,lift.main.LiftBrain,29,1
1712659,27,1205,lift.main.LiftBrain,56,1
663157,17,955,lift.main.LiftBrain,75,1
51865,33,195,lift.main.LiftBrain,10,1
74784,43,195,lift.main.LiftBrain,8,1
2287092,79,815,lift.main.LiftBrain,20,1
8944,55,55,lift.main.LiftBrain,4,1
869497,153,345,lift.main.LiftBrain,8,1
178606,5,905,lift.main.LiftBrain,198,1
2153621,73,845,lift.main.LiftBrain,18,1
40695,87,105,lift.main.LiftBrain,6,1
5888,97,35,lift.main.LiftBrain,4,1
1738065,43,995,lift.main.LiftBrain,34,1
2172927,145,595,lift.main.LiftBrain,10,1
1511229,133,515,lift.main.LiftBrain,10,1
2553841,143,655,lift.main.LiftBrain,10,1
1648757,167,485,lift.main.LiftBrain,9,1
522306,13,945,lift.main.LiftBrain,80,1
981519,81,515,lift.main.LiftBrain,17,1
93312,51,205,lift.main.LiftBrain,8,1
3994051,121,875,lift.main.LiftBrain,16,1
76176,49,185,lift.main.LiftBrain,9,1
1052618,31,905,lift.main.LiftBrain,41,1
1835343,125,585,lift.main.LiftBrain,11,1
2067501,29,1275,lift.main.LiftBrain,57,1
310550,55,365,lift.main.LiftBrain,11,1
4264841,155,805,lift.main.LiftBrain,11,1
2683,99,25,lift.main.LiftBrain,2,1
5678361,139,965,lift.main.LiftBrain,13,1
113,23,5,lift.main.LiftBrain,1,1
1617,7,65,lift.main.LiftBrain,14,1
39207,19,225,lift.main.LiftBrain,17,1
657810,109,375,lift.main.LiftBrain,7,1
991538,147,405,lift.main.LiftBrain,7,1
2140630,115,665,lift.main.LiftBrain,13,1
1012852,49,705,lift.main.LiftBrain,24,1
2717136,35,1315,lift.main.LiftBrain,53,1
7345812,125,1185,lift.main.LiftBrain,17,1
3257971,81,945,lift.main.LiftBrain,18,1
1451807,27,1125,lift.main.LiftBrain,56,1
290657,31,465,lift.main.LiftBrain,21,1
136325,159,145,lift.main.LiftBrain,5,1
824810,27,825,lift.main.LiftBrain,40,1
494422,107,325,lift.main.LiftBrain,8,1
155,41,5,lift.main.LiftBrain,1,1
93040,9,485,lift.main.LiftBrain,63,1
5637672,101,1145,lift.main.LiftBrain,19,1
3923852,145,785,lift.main.LiftBrain,13,1
1461076,107,565,lift.main.LiftBrain,11,1
1719814,107,625,lift.main.LiftBrain,11,1
3807648,97,975,lift.main.LiftBrain,21,1
3215261,109,845,lift.main.LiftBrain,15,1
234023,107,225,lift.main.LiftBrain,6,1
4578279,107,985,lift.main.LiftBrain,18,1
8187181,119,1285,lift.main.LiftBrain,18,1
1516175,149,485,lift.main.LiftBrain,9,1
19826,89,65,lift.main.LiftBrain,5,1
7067,65,45,lift.main.LiftBrain,4,1
479998,15,865,lift.main.LiftBrain,69,1
14772,75,65,lift.main.LiftBrain,3,1
485159,9,1105,lift.main.LiftBrain,135,1
3942131,161,765,lift.main.LiftBrain,13,1
460855,51,455,lift.main.LiftBrain,16,1
48394,11,325,lift.main.LiftBrain,42,1
26244,39,135,lift.main.LiftBrain,9,1
582313,81,395,lift.main.LiftBrain,13,1
